payment_id,ticket_id,fecha_pago,store_id,caja_id,cajero_id,metodo_pago,importe_pagado,moneda,referencia_autorizacion,estado_pago,observaciones
PAY-0000017, T-500435,2025-02-15 02:47:00,S001,CAJ03,EMP004,TARJETA CREDITO,299.08,EUR,QF5Q14J1RIPZ,OK,
PAY-0000018, T-500456,14/05/2025,S003,CAJ07,EM048,Efectivo,10.46,EUR,NAM148P0TVHH,OK,
PAY-0000019, T-500456,14/05/2025,S003,CAJ07,EM048,Tarjeta credito,"117,32",EUR,DP5GJLQM,OK,
PAY-0000020, T-500508,2025-07-01 00:08:00,S002,CAJ03,EMP034,Credit Card,"3,04",EUR,8QJNV8Z2FLU7,OK,
PAY-0000021, T-500508,01/07/2025,S002,CAJ03,EMP034,TARJETA CREDITO,€208.59,EUR,2MPNSM43D8W3,OK,
PAY-0000022, T-500508,2025-07-01 00:00:00,S002,CAJ03,EMP034,Tarjeta Débito,26.02,EUR,,OK,
PAY-0000023, T-500517,19/05/25 01:06,S001,CAJ07,EMP073,EFECTIVO,81.42,EUR,DZR1YXR2D,OK,
PAY-0000024, T-500517,19/05/25 01:06,S001,CAJ07,EMP073,Tarjeta (Crédito),87.75,EUR,ZL08YG0J,OK,
PAY-0000025, T-500528,2025-05-13 04:03:05,S004,CAJ04,EMP029,Tarjeta Crédito,360.45,EUR,UQPGB7R3,OK,
PAY-0000026, T-500534,5 de octubre de 2025 01:05,S001,CAJ03,EMP008,Vale,1432.49,EUR,,OK,
PAY-0000027, T-500538,14/08/25 20:50,S001,CAJ01,EMP031,Contado,286.25,EUR,ZZQY72WX7P,OK,
PAY-0000028, T-500554,2025-11-24 04:05:00,S004,CAJ05,EMP049,Vale Devolución,50.77,EUR,0VAIY4VA13U,OK,
PAY-0000029, T-500554,24/11/25 04:05,S004,CAJ05,EMP049,Tarjeta Regalo,142.08,EUR,4LYK83TQ,OK,
PAY-0000030, T-500565,24/10/25 17:54,S003,CAJ04,EMP077,Credit Card,"134,71",EUR,,OK,
PAY-0000031, T-500565,2025-10-24 17:54:00,S003,CAJ04,EMP077,Tarjeta (Crédito),168.46,EUR,,OK,
PAY-0000032, T-500565,24/10/25 17:54,S003,CAJ04,EMP077,CC,-108.36,EUR,,OK,Importe negativo (posible devolución mal registrada)
PAY-0000033, T-500589,2025-02-13 00:12:30,S05,CAJ06,EMP053,Contado,-396.05 EUR,EUR,,OK,Importe negativo (posible devolución mal registrada)
PAY-0000034, T-500662,2025-12-14 14:59:00,S001,CAJ05,EMP054,Tarjeta (Crédito),"1078,62",EUR,,OK,
PAY-0000035, T-500684,03/08/25 04:21,S003,CAJ03,EMP019,Credit Card,496.23,EUR,5BCW790PDW5,OK,
PAY-0000036, T-500774,20/06/25 07:38,S001,CAJ04,EMP010,Tarjeta Débito,551.28,EUR,,OK,
PAY-0000037, T-500774,20/06/2025 07:39,S001,CAJ04,EMP010,TARJETA CREDITO,26.36,EUR,,OK,
PAY-0000038, T-500834,25/08/25 07:54,S005,CAJ05,EMP057,BIZUM,132.27,EUR,361I2HGJ11Y,OK,
PAY-0000039, T-500871,20/06/25 21:31,S004,CAJ01,EMP066,Efectivo,426.98,EUR,8K52QC1IYYO,OK,
PAY-0000040, T-500890,22 de febrero de 2025 03:37,S003,CAJ06,EMP037,Credit Card,"2906,49",EUR,,OK,
PAY-0000041, T-500917,2025-05-03 05:18:41,S004,CAJ07,EMP060,Visa/Mastercard,360.72,EUR,0FODRO8BNP84,OK,
PAY-0000042, T-500917,2025-05-03 05:18:41,S004,CAJ07,EMP060,cash,383.81,EUR,8BM92H3TV3I1,OK,
PAY-0000043, T-500982,08/12/25 01:11,S002,CAJ02,EMP026,EFECTIVO,€852.48,EUR,0R2SDS8B,OK,
PAY-0000044, T-501003,2025-05-06 10:06:00,S002,CAJ03,EMP018,Credit Card,"319,49",EUR,TL9TQVDZ4X1Z,OK,
PAY-0000045, T-501010,12/06/25 03:15,S002,CAJ07,EMP048,TARJETA CREDITO,"170,07",EUR,3UVULEMX15,OK,
PAY-0000046, T-501013,16/04/25 14:52,S003,CAJ08,EMP035✓,TARJETA CREDITO,413.60€,EUR,WXA73JGZLMA5,OK,
PAY-0000047, T-501014,2025-10-05 22:14:00,S005,CAJ07,EMP063,Tarjeta Regalo,415.76,EUR,RPJ1EPKYRYB,OK,
PAY-0000048, T-501054,2025-11-10 17:37:00,S002,CAJ08,EMP022,cash,"1,544.43",EUR,QCLPOXKO,OK,
PAY-0000049, T-501067,17/09/25 23:25,S004,CAJ03,EMP064,Credit Card,43.99,EUR,S6M033IFHV1X,OK,
PAY-0000050, T-501067,17/09/25 23:25,S004,CAJ03,EMP064,Tarjeta (Crédito),46.45,EUR,PQW2VMCQB,OK,
PAY-0000051, T-501093,07/09/25 12:47,S002,CAJ08,EMP059,Efectivo,167.33,EUR,349DXBZ9,OK,
PAY-0000052, T-501194,19/07/25 17:12,S002,CAJ01,EMP017,cash,39.19,EUR,MUFM8ZOV7,OK,
PAY-0000053,500018,03/05/25 00:24,S001,CAJ06,EMP027,Gift Card,48.80,EUR,K2ST0SX5,OK,
PAY-0000054,500018,2025-05-03 01:52:00,S001,CAJ06,EMP027,Tarjeta (Débito),"478,53",EUR,II826GYUP12,OK,
PAY-0000055,500019,2025-02-21 00:00:00,S005,CAJ02,EMP028,EFECTIVO,113.52,EUR,,OK,
PAY-0000056,500025,14/09/2025,S004,CAJ08,EMP030,Tarjeta debito,448.08,EUR,K3ZEZQAC,OK,
PAY-0000057,500025,14/09/2025,S004,CAJ08,EMP030,Cash,486.82 EUR,EUR,4RTWUZKA,OK,
PAY-0000058,500123,29/01/25 08:09,S005,CAJ05,EMP052,Visa/Mastercard,1182.57,EUR,10LBT3G2,OK,
PAY-0000059,500132,2025-08-26 11:23:18,S003,CAJ07,EMP053,Tarjeta (Crédito),€272.26,EUR,5BXJ2POP8M,OK,
PAY-0000060,500140,7 de septiembre de 2025 01:27,S003,CAJ02,EMP043,Tarjeta (Crédito),"3925,07",EUR,FPQ06WPX2CY,OK,
PAY-0000061,500187,2025-10-25 12:32:00,S002,CAJ03,EMP073,Tarjeta credito,63.47 EUR,EUR,TOXIE0RNU,OK,
PAY-0000062,500187,25/10/25 10:53,S002,CAJ03,EMP073,Efectivo,119.49,EUR,389YZTKK,OK,
PAY-0000063,500222,03/03/25 23:48,S003,CAJ08,EMP075,Gift Card,237.54,EUR,S13C9XQYM52,OK,
PAY-0000064,500247,27/05/25 05:00,S003,CAJ05,EMP036,Credit Card,"512,54",EUR,WDXVUGW6M7,OK,
PAY-0000065,500247,27/05/25 05:00,S003,CAJ05,EMP036,CC,"158,03",EUR,R2YKCCPRHV,OK,
PAY-0000066,500247,2025-05-27 05:00:00,S003,CAJ05,EMP036,Efectivo,674.98,EUR,B85P8637,OK,
PAY-0000067,500308,31/12/25 10:43,S004,CAJ06,EMP068,CC,1519.14,EUR,4P501NOU,OK,
PAY-0000068,500344,2025-05-06 16:55:27,S004,CAJ08,EMP024,GiftCard,"4,324.12 EUR",EUR,BELRQVSL,OK,
PAY-0000069,500422,29/09/25 20:59,S004,CAJ01,EMP050,cash,84.23,EUR,R821UZVGWW4F,OK,
PAY-0000070,500422,29/09/25 20:59,S004,CAJ01,EMP050,Contado,10.68,EUR,SU9RN8QTT,OK,
PAY-0000071,500422,2025-09-29 20:59:00,S004,CAJ01,EMP050,tarjeta regalo,115.43,EUR,YRRU7ZKUT,OK,
PAY-0000072,500443,15/04/25 18:37,S001,CAJ06,EMP038,Tarjeta debito,309.55,EUR,IB6IIDLRYE89,OK,
PAY-0000073,500482,03/05/25 22:07,S004,CAJ07,EMP061,Cash,"398,23",EUR,9OR7875A,OK,
PAY-0000074,500482,03/05/25 22:07,S004,CAJ07,EMP061,TARJETA_REGALO,"121,31",EUR,ZAMKYGVWOP,OK,
PAY-0000075,500486,2025-09-05 17:54:16,S005,CAJ08,EMP060,Tarjeta credito,,EUR,QFY751YW,OK,
PAY-0000076,500512,02/12/25 06:20,S001,CAJ08,EMP073,Tarjeta credito,1333.26,EUR,ZCUCTSUFLSEH,OK,
PAY-0000077,500613,26/06/25 21:17,S003,CAJ01,EMP019,Efectivo,72.98,EUR,TC69QKGE,OK,
PAY-0000078,500637,2025-03-12 07:56:33,S005,CAJ08,EMP013,tarjeta regalo,572.58,EUR,19QZPNIQ,OK,
PAY-0000079,500637,12/03/2025 07:56,S005,CAJ08,EMP013,Credit Card,"266,19",EUR,VZB0OIH5CSK,OK,
PAY-0000080,500637,2025-03-12 07:56:33,S005,CAJ08,EMP013,Debit Card,"135,31",EUR,56WPR97Y2LOF,OK,
PAY-0000081,500655,2025-12-21,S004,CAJ02,EMP020,Tarjeta (Crédito),242.56,EUR,BNVBC2VYH,OK,
PAY-0000082,500667,2025-09-27 10:42:00,S005,CAJ03,EMP073,Vale,€1042.34,EUR,JSRD9Q46NO,OK,
PAY-0000083,500678,2025-09-23 19:13:59,S004,CAJ06,EMP029,TARJETA CREDITO,3046.48,EUR,0MFTG698S,OK,
PAY-0000084,500707,10/09/25 00:17,S03,CAJ05,EMP016,Tarjeta Débito,"79,37",EUR,TJ9A3Y36,OK,
PAY-0000085,500707,10/09/25 00:17,S03,CAJ05,EMP016,Efectivo,"626,53",EUR,X41DNTCA,OK,
PAY-0000086,500712,21/07/2025 13:32,S004,CAJ01,EMP048,Cupón,€63.82,EUR,7L8V1ZOCF,OK,
PAY-0000087,500744,2025-05-27,S005,CAJ07,EMP012,CC,€274.32,EUR,,OK,
PAY-0000088,500747,10/12/24 19:15,S001,CAJ02,,DEBITO,"1.626,87",EUR,0LDALMJEG,OK,
PAY-0000089,500771,2025-12-07 09:06:00,S005,CAJ06,EMP039,Tarjeta Crédito,1369.44,EUR,EKRCPPRCJ,OK,
PAY-0000090,500788,2025-03-24 03:07:59,S003,CAJ03,EMP004,Tarjeta credito,,EUR,VZRGOL0W82,OK,
PAY-0000091,500812,2025-04-20 22:35:14,S001,CAJ02,EMP063,TARJETA CREDITO,184.41,EUR,YFKJFPNQVUT,OK,
PAY-0000092,500812,2025-04-20 23:21:14,S001,CAJ02,EMP063,Efectivo,13.95,EUR,9YO18PAJSSUU,OK,
PAY-0000093,500831,09/09/25 11:35,S004,CAJ08,EMP061,CC,405.00,EUR,PZLK3E4X,OK,
PAY-0000094,500831,09/09/25 11:35,S004,CAJ08,EMP061,GiftCard,"231,48",EUR,5QPAHKZ2U2TN,OK,
PAY-0000095,500835,2025-02-03 10:27:00,S003,CAJ02,EMP073,Debit Card,€942.57,EUR,LIENFNVUP,OK,
PAY-0000096,500841,2025-05-20 00:50:00,S004,CAJ06,EMP013,Bizum,301.46,EUR,O4RCB1KJTGQ,OK,
PAY-0000097,500841,20/05/25 00:50,S004,CAJ06,EMP013,CC,387.63,EUR,K9QM3P91I,OK,
PAY-0000098,500853,2025-09-04 23:47:18,S003,CAJ06,EMP058,Visa/Mastercard,797.70,EUR,9YD82795E5IZ,OK,
PAY-0000099,500861,18/10/2025 13:39,S005,CAJ08,EMP045,Cash,1387.54,EUR,WZ42O83RLKT,OK,
PAY-0000100,500887,25/10/25 21:24,S004,,EMP018,Visa/Mastercard,18.19,EUR,JN6FOKZIXZ,OK,
PAY-0000101,500887,25/10/25 21:24,s004,CAJ07,EMP018,Efectivo,14.76,EUR,DNKN35XY,OK,
PAY-0000102,500894,10/05/25 14:47,S004,CAJ06,EMP063,Tarjeta credito,132.31,EUR,,OK,
PAY-0000103,500927,11/10/25 03:18,S005,CAJ06,EMP053,Efectivo,"949,03",EUR,RERVT997E,OK,
PAY-0000104,500944,13/07/25 11:34,S005,CAJ02,EMP025,Visa/Mastercard,€767.62,EUR,ZCTWJLSH3TO,OK,
PAY-0000105,500972,14/11/25 15:51,S004,CAJ08,EMP003,Tarjeta Crédito,"1365,53",EUR,S2ZGE2J51B,OK,
PAY-0000106,501005,20/10/25 21:23,S005,CAJ06,EMP021,Visa/Mastercard,"244,83",EUR,IQNF74T6,OK,
PAY-0000107,501036,2 de junio de 2025 17:31,S001,CAJ03,EMP006,Debit Card,140.52,EUR,51LDQNK20IN,OK,
PAY-0000108, 501056 ,2025-11-25 18:17:52,S005,CAJ07,EMP007,Contado,922.70 EUR,EUR,TIRC9ZD76,OK,
PAY-0000109,501056,2025-11-25 18:17:52,S005,CAJ07,EMP007,Tarjeta (Crédito),330.22,EUR,,OK,
PAY-0000110,501081,10/12/25 09:31,S002,CAJ07,EMP043,Cash,"2315,04",EUR,JEFY3ZB4LDI,OK,
PAY-0000111,501088,11/06/2025 09:26,S002,CAJ05,EMP038,TARJETA CREDITO,"4552,51",EUR,NWXUJ3AC6PE,OK,
PAY-0000112,501091,04/03/25 06:28,S005,CAJ02,EMP021,Efectivo,€1668.97,EUR,IKOTCKEH5SW2,OK,
PAY-0000113,501134,2025-12-28 12:36:53,S003,CAJ03,EMP061,TARJETA CREDITO,"74,33",EUR,99DXJ37C9H42,OK,
PAY-0000114,501134,2025-12-28 12:36:53,S003,CAJ03,EMP061,Cupon,209.58,EUR,,OK,
PAY-0000115,501138,19/07/25 05:19,s001,CAJ05,EMP036,CC,48.32,EUR,FZFDSNCZ,OK,
PAY-0000116,501138,19/07/25 05:19,S001,CAJ05,EMP036,tarjeta regalo,€174.72,EUR,2IVGLYE088O9,OK,
PAY-0000117,501138,2025-07-19 05:19:00,S001,CAJ05,EMP036,Gift Card,275.24,EUR,,OK,
PAY-0000118, 501144 ,22/11/25 06:58,S001,CAJ06,EMP015,Tarjeta (Débito),110.23,EUR,MN32U1IQ2BA,OK,
PAY-0000119,501154,2025-08-31,S004,CAJ03,EMP077,Debit Card,616.58,EUR,HGZZ0JKIBU,OK,
PAY-0000120,501160,14/04/25 07:39,S002,CAJ06,EMP019,Credit Card,1437.97,EUR,NNGBPJ4UF,OK,
PAY-0000121,501161,10 de noviembre de 2025 11:57,S004,CAJ02,EMP019,Tarjeta (Crédito),100.57,EUR,,OK,
PAY-0000122,501182,01/09/25 19:41,S005,CAJ07,EMP079,Tarjeta Regalo,"249,20",EUR,4J66CNOLJ,OK,
PAY-0000123,501182,2025-09-01 19:41:00,S005,CAJ07,EMP079,GiftCard,102.90,EUR,,OK,
PAY-0000124,501185,2025-04-15 04:56:00,S001,CAJ03,EMP044,CC,1895.22 EUR,EUR,076A3KKR,OK,
PAY-0000125,T-500000,13/12/25 11:42,S001,CAJ04,EMP014,EFECTIVO,766.81,EUR,2CZO2SUG5HCB,OK,
PAY-0000126,T-500000,13/12/25 11:42,S001,CAJ04,EMP014,tarjeta regalo,532.12,EUR,,OK,
PAY-0000127,T-500001,2025-03-04 01:20:00,S005,CAJ08,EMP001,cash,3997.05,EUR,6XVAJ2K8XPN,OK,
PAY-0000128,T-500003,03/12/25 12:12,S001,CAJ04,EMP011,Visa/Mastercard,415.03,EUR,X5JZ6KF162,OK,
PAY-0000129,T-500004,28/05/25 08:46,S001,CAJ03,EMP032,Visa/Mastercard,€587.25,EUR,6YS445GDEJ3,OK,
PAY-0000130,T-500005,09/08/2025 06:30,S001,CAJ07,EMP028,tarjeta regalo,"80,63",EUR,C6S5NKB4EHOU,OK,
PAY-0000131,T-500006,23/02/25 17:20,s005,,EMP052,EFECTIVO,108.85,EUR,PPPRAT0861TA,OK,
PAY-0000132,T-500007,05/01/2025,S004,CAJ08,EMP071,TARJETA CREDITO,138.41,EUR,,OK,
PAY-0000133,T-500008,2025-10-23 00:46:00,S003,,EMP034,Tarjeta (Crédito),35.83,EUR,BEPEJZHY,OK,
PAY-0000134,T-500008,23/10/2025,S003,,EMP034,Cash,1201.49,EUR,HJSHZKBRH7LA,OK,
PAY-0000135,T-500009,2025-12-27 20:21:36,S002,CAJ01,EM063,Tarjeta (Débito),316.76,EUR,PE46AEXL68,OK,
PAY-0000136,T-500009,2025-12-27 19:49:36,S002,CAJ01,EM063,Cash,76.21,EUR,,OK,
PAY-0000137,T-500010 ,2025-03-06 03:53:00,S004,CAJ03,EMP061,EFECTIVO,171.45,EUR,,OK,
PAY-0000138,T-500010 ,2025-03-06 04:56:00,S004,CAJ03,EMP061,Tarjeta Crédito,€597.75,EUR,P0RXXF36,OK,
PAY-0000139,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,Contado,92.82,EUR,,OK,
PAY-0000140,T-500011,07/04/25 06:38,S004,CAJ06,EMP067,,72.74,EUR,UXQM334L1VZN,OK,
PAY-0000141,T-500012,25/03/2025,S001,CAJ02,EMP036,Tarjeta Crédito,914.82,EUR,E4H3GM1BW,OK,
PAY-0000142,T-500013,01/07/25 08:59,S004,CAJ02,EMP046,Credit Card,14.30,EUR,DXVL5PVYI,OK,
PAY-0000143,T-500013,01/07/25 08:59,S004,CAJ02,EMP046,Visa/Mastercard,184.75,EUR,WHWKMY9X8SYL,OK,
PAY-0000144,T-500014,19/04/2025 04:13,S001,CAJ04,EMP018,CC,"774,82",EUR,9YFC2HTMQ,OK,
PAY-0000145,T-500016,2025-01-23 17:06:13,S004,CAJ08,EMP038,Gift Card,208.67,EUR,0H54PIWZ,OK,
PAY-0000146,T-500017,20 de septiembre de 2025 05:26,S001,CAJ02,EMP009,EFECTIVO,"229,26",EUR,ZFFLB7WXRUM,OK,
PAY-0000147,T-500017,20 de septiembre de 2025 05:26,S001,CAJ02,EMP009,Tarjeta debito,180.79,EUR,XLK8WRU1X,OK,
PAY-0000148,T-500020,2025-02-22 03:41:02,,CAJ05,EMP014,Visa/Mastercard,419.94,EUR,QB6GS8G8TACY,OK,
PAY-0000149,T-500021,14/06/25 12:00,S003,CAJ05,EMP007,Contado,"214,98",EUR,UIJNWPAY,OK,
PAY-0000150,T-500022,21/11/25 02:59,,CAJ02,EMP020,Tarjeta (Crédito),376.24 EUR,EUR,TEO2T8FY6,OK,
PAY-0000151,T-500023,2025-12-10 08:43:57,S003,CAJ04,EMP046,Tarjeta Crédito,€549.43,EUR,FGWJEYUB19TX,OK,
PAY-0000152,T-500024,2025-06-09 21:26:41,S002,CAJ01,EMP043,EFECTIVO,216.21,EUR,U38GL2ZXJMYL,OK,
PAY-0000153,T-500026,12/04/25 10:42,S004,CAJ06,EMP015,Credit Card,12.77,EUR,U1HBJ6TXFO6V,OK,
PAY-0000154,T-500026,12/04/25 10:42,S004,CAJ06,EMP015,VALE,10.22,EUR,X80RMHRCNBH6,OK,
PAY-0000155,T-500027,26 de diciembre de 2025 10:59,S005,CAJ04,,Tarjeta Crédito,1086.42 EUR,EUR,N6SM5RRVSF,OK,
PAY-0000156,T-500028,2025-09-16 23:53:00,S003,CAJ02,EMP039,Tarjeta credito,109.91,EUR,BUFWBUCJG,OK,
PAY-0000157,T-500029,2025-03-23,S002,CAJ05,EMP001,Tarjeta Regalo,94.95,EUR,GY7VCNEAS6,OK,
PAY-0000158,T-500030,2025-11-14 20:15:00,S002,CAJ05,EMP080,Tarjeta credito,680.10,EUR,P5ZP7R1M264U,OK,
PAY-0000159,T-500032,05/08/25 11:23,s001,CAJ04,EMP067,Vale,19.16,EUR,XJ4PNJY1O2R,OK,
PAY-0000160,T-500032,05/08/25 11:23,S001,CAJ04,EMP067,Cupón,3.48,EUR,DS22WYBOW,OK,
PAY-0000161,T-500033,19/12/2025 05:18,S005,CAJ08,EMP065,CC,1977.42,EUR,KBVSIGBIAF92,OK,
PAY-0000162,T-500034,02/04/25 01:38,S005,CAJ04,EMP010,GiftCard,"2,704.67 EUR",EUR,CK82853UY8U1,OK,
PAY-0000163,T-500035,01/06/25 06:11,S004,CAJ08,EMP027,Credit Card,324.16 EUR,EUR,IDY3C7RM6J,OK,
PAY-0000164,T-500036,2025-10-13 07:48:00,S001,CAJ05,EMP054,Credit Card,90.02,EUR,WR965R96KH,ANULADO,
PAY-0000165,T-500036,2025-10-13 07:17:00,S001,CAJ05,EMP054,Tarjeta (Débito),38.96,EUR,AHULWJTI,OK,
PAY-0000166,T-500037,19/12/25 05:11,S004,CAJ08,EMP080,Debit Card,734.84,EUR,H20RAPE6WTL,OK,
PAY-0000167,T-500038,2025-12-08 14:50:20,S001,CAJ06,EMP042,Tarjeta Crédito,1010.56,EUR,HUXG2MYR06NK,OK,
PAY-0000168,T-500038,2025-12-08 14:50:20,S001,CAJ06,EMP042,Cash,"33,08",EUR,ZVO5270SQG,OK,
PAY-0000169,T-500040,05/03/2025 14:32,S003,CAJ03,EMP015,DEBITO,"204,13",EUR,LIKWE4BX4LR,OK,
PAY-0000170,T-500041,22/08/25 04:14,S002,CAJ04,,TARJETA_REGALO,315.38,EUR,PNJKA34M,OK,
PAY-0000171,T-500042,2025-05-21 15:50:13,S03,CAJ07,EMP014,Cash,€148.20,EUR,3YK03O4GKWWJ,OK,
PAY-0000172,T-500042,2025-05-21 15:50:13,S03,CAJ07,EMP014,cash,"94,37",EURO,2RNZBC1FJO,OK,
PAY-0000173,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,TARJETA CREDITO,422.67,EUR,7F00TERKMB,OK,
PAY-0000174,T-500043,27/11/25 18:32,S005,CAJ08,EMP076,Cash,513.41,EUR,F1IRYM81CMFT,OK,
PAY-0000175,T-500044,2025-04-11 08:01:08,S001,CAJ06,EMP028,GiftCard,951.10,EUR,M0J36TCFKJNA,OK,
PAY-0000176,T-500045,2025-01-07 17:51:00,S004,CAJ04,EMP063,Tarjeta Débito,643.31 EUR,EUR,B7GBDGBX,OK,
PAY-0000177,T-500046,08/10/25 02:51,S005,CAJ08,EMP033,DC,"2331,46",EUR,2CWT04CHSD,OK,
PAY-0000178,T-500047,21/05/25 03:39,S004,CAJ05,EMP025,EFECTIVO,"1008,40",EUR,TV76T94OW,OK,
PAY-0000179,T-500048,13 de mayo de 2025 07:36,S004,CAJ01,EMP061,Contado,52.86,EUR,A9HL1737SU,OK,
PAY-0000180,T-500049,24/10/25 21:07,S001,CAJ05,EMP032,EFECTIVO,189.72,EUR,3DXB3N27M5P7,OK,
PAY-0000181,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,Contado,405.44,EUR,SHKOECUBODS1,OK,
PAY-0000182,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,Tarjeta Regalo,"462,90",EUR,DYPMLVAK9W9P,OK,
PAY-0000183,T-500051 ,20/04/2025 20:26,S001,CAJ08,EMP030,Tarjeta credito,97.07,EUR,HSJR0FZAU,OK,
PAY-0000184,T-500051 ,2025-04-20 20:48:00,S001,CAJ08,EMP030,Tarjeta (Débito),1661.69,EUR,5XIN9DL5TG,OK,
PAY-0000185,T-500052,2025-01-28 18:19:00,S002,CAJ04,EMP035,Tarjeta Débito,"488,29",EUR,78IMOE0S,OK,
PAY-0000186,T-500052,2025-01-28 17:35:00,S002,CAJ04,EMP035,Tarjeta Crédito,"16,93",EUR,5LZSE99F7,OK,
PAY-0000187,T-500053,2025-06-20 00:12:00,S004,CAJ07,EMP065,Visa/Mastercard,1384.96,EUR,EA9WVWVI,OK,
PAY-0000188,T-500054,24/10/25 08:41,S005,CAJ01,EMP035,EFECTIVO,67.99,EUR,1C795RLQI,OK,
PAY-0000189,T-500054,2025-10-24 08:41:00,S005,CAJ01,EMP035,CC,369.59,EUR,Q55IT9BN18G,OK,
PAY-0000190,T-500055,2025-02-10 14:56:00,S004,CAJ08,EMP043,cash,554.13,EUR,OQGVZHQJY62,OK,
PAY-0000191,T-500055,10/02/25 14:56,S004,CAJ08,EMP043,Credit Card,50.69,EUR,6UXF5GZPL,OK,
PAY-0000192,T-500056,17/11/25 08:52,S003,CAJ02,EMP052,Tarjeta Crédito,,EUR,CVITWU3BFXB,OK,
PAY-0000193,T-500057,2025-06-20 03:32:00,S004,CAJ04,EMP017,DEBITO,"178,89",EUR,314CQE4LOHH,OK,
PAY-0000194,T-500057,2025-06-20,S004,CAJ04,EMP017,DEBITO,278.02€,EUR,9MEUSWRGVZ9A,OK,
PAY-0000195,T-500058,15 de febrero de 2025 14:51,S003,CAJ07,EMP015,VALE,€12.51,EUR,ELOU83G4,OK,
PAY-0000196,T-500058,15 de febrero de 2025 14:51,S003,CAJ07,EMP015,Debit Card,50.86,EUR,7CSUYTAUL62,OK,
PAY-0000197,T-500059,2025-12-08 11:54:53,S002,CAJ03,EMP077,TARJETA CREDITO,21.32 EUR,EUR,3KSGNBHDS26,OK,
PAY-0000198,T-500059,2025-12-08 11:54:53,S002,CAJ03,EMP077,Credit Card,6.70,EUR,QZSA7YVD,OK,
PAY-0000199,T-500060,14/09/25 07:05,S003,CAJ05,EMP076,Voucher,€510.65,EUR,MLFZKICWMPEQ,ANULADO,
PAY-0000200,T-500061,2025-06-09 12:42:05,S002,CAJ04,EMP030,Cash,75.46,EUR,,OK,
PAY-0000201,T-500062,2025-02-08 23:27:00,S002,CAJ01,EMP076,Cash,"598,66",EUR,QBRMQG1VED,OK,
PAY-0000202,T-500063,27/11/25 19:01,S001,CAJ05,EMP051,Visa/Mastercard,816.48,EUR,YGY0Z4EVLDQL,OK,
PAY-0000203,T-500064,24/12/25 15:40,S004,,EMP031,CC,111.06,EUR,HYLU6K7P9MD,OK,
PAY-0000204,T-500065,2025-01-22 20:15:00,S001,CAJ05,EMP006,Tarjeta credito,820.64 EUR,EUR,PHGFT4MPK5E,OK,
PAY-0000205,T-500066,29/06/25 02:13,S005,CAJ04,EMP075,Credit Card,7.51,EUR,MGVU4ISOTN9,OK,
PAY-0000206,T-500067,14/06/25 18:50,S005,CAJ08,EMP076,Debit Card,"340,37",EUR,YTUW6TAQ,OK,
PAY-0000207,T-500068,19/11/25 08:30,S004,CAJ05,EMP038✓,cash,"119,18",EUR,,OK,
