fact_id,source_system,source_file,canal_origen,canal_movimiento,tipo_movimiento,es_devolucion,fecha_movimiento_raw,fecha_movimiento,store_id_raw,store_id_std,doc_tipo,doc_id_raw,doc_id_std,line_id_raw,line_id_std,return_id,customer_id_raw,customer_id_std,flag_customer_in_crm,product_id_raw,product_id_std,flag_product_in_master,descripcion_producto,categoria,subcategoria,cantidad_raw,cantidad_signed,cantidad_abs,precio_unitario_raw,precio_unitario_num,descuento_pct_raw,descuento_pct_num,descuento_importe_raw,descuento_importe_num,importe_linea_raw,importe_signed_num,importe_abs_num,moneda,iva_pct,coste_unitario_num,coste_total_num,margen_bruto_num,metodo_pago,estado_pedido,origen,ticket_id_original,ticket_line_id_original,order_id_original,order_line_id_original,motivo_devolucion,metodo_devolucion,caja_id,cajero_id,flag_fecha_parseada,flag_importe_parseado,nombre_producto,precio_venta_num,estado_producto
F000011,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-05-06 08:05:31,2024-05-06 08:05:31,ONLINE,ONLINE,ORDER,O-202400003,O-202400003,OL-0000011,OL-0000011,,C9999,C9999,0,P1039,P1039,1,Cuadro Nórdico ★,Decoración,Cuadros,2,2.0,2.0,223.73,223.73,20,20.0,89.49,89.49,357.97,357.97,357.97,EUR,21,84.28,168.56,189.41000000000003,Tarjeta,Entregado,marketplace,,,O-202400003,OL-0000011,,,,,1,1,Cuadro Nórdico ★,237.04,Descatalogado
F000012,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/06/14 03:38:45,2024-06-14 03:38:45,ONLINE,ONLINE,ORDER,O-202400004,O-202400004,OL-0000012,OL-0000012,,C0034,C0034,1,P1064,P1064,1,Estantería Minimal 120cm,Muebles,Estanterías,1,1.0,1.0,405.14,405.14,,,,,€405.14,405.14,405.14,EUR,21,210.29,210.29,194.85,Tarjeta,Devuelto Parcial,web,,,O-202400004,OL-0000012,,,,,1,1,Estantería Minimal 120cm,447.43,Activo
F000013,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/06/14 03:38:45,2024-06-14 03:38:45,ONLINE,ONLINE,ORDER,O-202400004,O-202400004,OL-0000013,OL-0000013,,C0034,C0034,1,P1030,P1030,1,Sofá Vintage XL,Muebles,Sofás,1,1.0,1.0,930.99,930.99,30,30.0,€279.30,279.3,€651.69,651.69,651.69,EUR,21,426.26,426.26,225.43000000000006,Tarjeta,Devuelto Parcial,web,,,O-202400004,OL-0000013,,,,,1,1,Sofá Vintage XL,1014.73,Descatalogado
F000013,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/06/14 03:38:45,2024-06-14 03:38:45,ONLINE,ONLINE,ORDER,O-202400004,O-202400004,OL-0000013,OL-0000013,,C0034,C0034,1,P1030,P1030,1,Sofá Vintage XL,Muebles,Sofás,1,1.0,1.0,930.99,930.99,30,30.0,€279.30,279.3,€651.69,651.69,651.69,EUR,21,426.26,426.26,225.43000000000006,Tarjeta,Devuelto Parcial,web,,,O-202400004,OL-0000013,,,,,1,1,Sofá Vintage XL (dup),1014.73,Descatalogado
F000014,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/06/14 03:38:45,2024-06-14 03:38:45,ONLINE,ONLINE,ORDER,O-202400004,O-202400004,OL-0000014,OL-0000014,,C0034,C0034,1,P1077,P1077,1,"Aplique Atlas ""Star""",Iluminación,Apliques,1,1.0,1.0,212.43,212.43,5,5.0,10.62,10.62,201.81,201.81,201.81,EUR,21,80.77,80.77,121.04,Tarjeta,Devuelto Parcial,web,,,O-202400004,OL-0000014,,,,,1,1,"Aplique Atlas ""Star""",209.96,Activo
F000015,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/06/14 03:38:45,2024-06-14 03:38:45,ONLINE,ONLINE,ORDER,O-202400004,O-202400004,OL-0000015,OL-0000015,,C0034,C0034,1,P1062,P1062,1,Sábana Brisa Pack 4,Textil hogar,Sábanas,3,3.0,3.0,,,,,,,"568,59",568.59,568.59,EUR,21,124.89,374.67,193.92000000000002,Tarjeta,Devuelto Parcial,web,,,O-202400004,OL-0000015,,,,,1,1,Sábana Brisa Pack 4,200.87,Activo
F000016,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-10-25 20:34:57,2024-10-25 20:34:57,ONLINE,ONLINE,ORDER,O-202400005,O-202400005,OL-0000016,OL-0000016,,C9999,C9999,0,P1030,P1030,1,Sofá Vintage XL,Muebles,Sofás,1,1.0,1.0,948.84,948.84,25,25.0,"237,21",237.21,711.63,711.63,711.63,EUR,21,426.26,426.26,285.37,Desconocido,Entregado,marketplace,,,O-202400005,OL-0000016,,,,,1,1,Sofá Vintage XL,1014.73,Descatalogado
F000016,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-10-25 20:34:57,2024-10-25 20:34:57,ONLINE,ONLINE,ORDER,O-202400005,O-202400005,OL-0000016,OL-0000016,,C9999,C9999,0,P1030,P1030,1,Sofá Vintage XL,Muebles,Sofás,1,1.0,1.0,948.84,948.84,25,25.0,"237,21",237.21,711.63,711.63,711.63,EUR,21,426.26,426.26,285.37,Desconocido,Entregado,marketplace,,,O-202400005,OL-0000016,,,,,1,1,Sofá Vintage XL (dup),1014.73,Descatalogado
F000017,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-10-25 20:34:57,2024-10-25 20:34:57,ONLINE,ONLINE,ORDER,O-202400005,O-202400005,OL-0000017,OL-0000017,,C9999,C9999,0,P1078,P1078,1,Estantería Atlas 160cm,Muebles,Estanterías,1,1.0,1.0,707.07,707.07,10,10.0,70.71,70.71,"636,36",636.36,636.36,EUR,21,497.07,497.07,139.29000000000002,Desconocido,Entregado,marketplace,,,O-202400005,OL-0000017,,,,,1,1,Estantería Atlas 160cm,702.02,Activo
F000018,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-10-15 17:51:13,2025-10-15 17:51:13,ONLINE,ONLINE,ORDER,O-202400006,O-202400006,OL-0000018,OL-0000018,,,,0,P1048,P1048,1,Mesa Minimal 160cm,Muebles,Mesas,2,2.0,2.0,469.75,469.75,,,,,939.50,939.5,939.5,EUR,21,205.56,411.12,528.38,Bizum,Entregado,,,,O-202400006,OL-0000018,,,,,1,1,Mesa Minimal 160cm,469.1,Activo
F000019,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-10-15 17:51:13,2025-10-15 17:51:13,ONLINE,ONLINE,ORDER,O-202400006,O-202400006,OL-0000019,OL-0000019,,,,0,P1018,P1018,1,Cojine Minimal ★,Decoración,Cojines,1,1.0,1.0,187.54,187.54,5,5.0,"9,38",9.38,"178,16",178.16,178.16,EUR,21,130.86,130.86,47.29999999999998,Bizum,Entregado,,,,O-202400006,OL-0000019,,,,,1,1,Cojine Minimal ★,179.25,Descatalogado
F000020,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-10-15 17:51:13,2025-10-15 17:51:13,ONLINE,ONLINE,ORDER,O-202400006,O-202400006,OL-0000020,OL-0000020,,,,0,P1007,P1007,1,Figura Boreal ★,Decoración,Figuras,4,4.0,4.0,"245,55",245.55,,,,,982.20,982.2,982.2,EUR,21,103.14,412.56,569.6400000000001,Bizum,Entregado,,,,O-202400006,OL-0000020,,,,,1,1,Figura Boreal ★,242.02,Activo
F000021,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,25/09/2025 19:46,2025-09-25 19:46:00,ONLINE,ONLINE,ORDER,O-202400007,O-202400007,OL-0000021,OL-0000021,,C0061,C0061,1,P1046,P1046,1,"Aplique Atlas ""Star""",Iluminación,Apliques,1,1.0,1.0,346.34,346.34,0,0.0,0.00,0.0,€346.34,346.34,346.34,EUR,21,250.51,250.51,95.82999999999998,Tarjeta,Entregado,app,,,O-202400007,OL-0000021,,,,,1,1,"Aplique Atlas ""Star""",338.61,Activo
F000022,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,25/09/2025 19:46,2025-09-25 19:46:00,ONLINE,ONLINE,ORDER,O-202400007,O-202400007,OL-0000022,OL-0000022,,C0061,C0061,1,P1018,P1018,1,Cojine Minimal ★,Decoración,Cojines,1,1.0,1.0,176.13,176.13,10,10.0,17.61,17.61,"158,52",158.52,158.52,EUR,21,130.86,130.86,27.659999999999997,Tarjeta,Entregado,app,,,O-202400007,OL-0000022,,,,,1,1,Cojine Minimal ★,179.25,Descatalogado
F000023,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-01-06 14:02:49,2024-01-06 14:02:49,ONLINE,ONLINE,ORDER,O-202400008,O-202400008,OL-0000023,OL-0000023,,CX123,CX123,0,P1040,P1040,1,Manta Boreal 140x200,Textil hogar,Mantas,2,2.0,2.0,€29.95,29.95,30,30.0,"17,97",17.97,41.93,41.93,41.93,EUR,21,21.51,43.02,-1.0900000000000034,Tarjeta,Entregado,web,,,O-202400008,OL-0000023,,,,,1,1,Manta Boreal 140x200,30.52,Descatalogado
F000024,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-01-06 14:02:49,2024-01-06 14:02:49,ONLINE,ONLINE,ORDER,O-202400008,O-202400008,OL-0000024,OL-0000024,,CX123,CX123,0,p1000,P1000,1,Sofá Aurora 160cm,Muebles,Sofás,1,1.0,1.0,201.63,201.63,,,,,201.63,201.63,201.63,EUR,21,143.47,143.47,58.16,Tarjeta,Entregado,web,,,O-202400008,OL-0000024,,,,,1,1,Sofá Aurora 160cm,221.99,Activo
F000025,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/02/17 01:54:07,2024-02-17 01:54:07,ONLINE,ONLINE,ORDER,O-202400009,O-202400009,OL-0000025,OL-0000025,,C0025,C0025,1,P1006,P1006,1,Cortina Élite 200x300,Textil hogar,Cortinas,1,1.0,1.0,102.96,102.96,,,,,102.96,102.96,102.96,EUR,21,62.96,62.96,39.99999999999999,paypal,Entregado,app,,,O-202400009,OL-0000025,,,,,1,1,Cortina Élite 200x300,113.02,Activo
F000026,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/02/17 01:54:07,2024-02-17 01:54:07,ONLINE,ONLINE,ORDER,O-202400009,O-202400009,OL-0000026,OL-0000026,,C0025,C0025,1,P1018,P1018,1,Cojine Minimal ★,Decoración,Cojines,1,1.0,1.0,€177.43,177.43,0,0.0,0.00,0.0,177.43,177.43,177.43,EUR,21,130.86,130.86,46.56999999999999,paypal,Entregado,app,,,O-202400009,OL-0000026,,,,,1,1,Cojine Minimal ★,179.25,Descatalogado
F000027,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024/02/17 01:54:07,2024-02-17 01:54:07,ONLINE,ONLINE,ORDER,O-202400009,O-202400009,OL-0000027,OL-0000027,,C0025,C0025,1,P1011,P1011,1,Vela Eco ★,Decoración,Velas,1,1.0,1.0,85.53,85.53,,,,,85.53,85.53,85.53,EUR,21,68.81,68.81,16.72,paypal,Entregado,app,,,O-202400009,OL-0000027,,,,,1,1,Vela Eco ★,92.55,Activo
F000028,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2030-01-13 08:59:00,2030-01-13 08:59:00,ONLINE,ONLINE,ORDER,O-202400010,O-202400010,OL-0000028,OL-0000028,,C0094,C0094,1,P1058,P1058,1,Manta Nórdico 140x200,Textil hogar,Mantas,3,3.0,3.0,€61.58,61.58,,,,,184.74,184.74,184.74,EUR,21,39.18,117.53999999999999,67.20000000000002,ContraReembolso,Entregado,web,,,O-202400010,OL-0000028,,,,,1,1,Manta Nórdico 140x200,64.7,Activo
F000029,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2030-01-13 08:59:00,2030-01-13 08:59:00,ONLINE,ONLINE,ORDER,O-202400010,O-202400010,OL-0000029,OL-0000029,,C0094,C0094,1,P1077,P1077,1,"Aplique Atlas ""Star""",Iluminación,Apliques,1,1.0,1.0,198.97,198.97,20,20.0,39.79,39.79,159.18,159.18,159.18,EUR,21,80.77,80.77,78.41000000000001,ContraReembolso,Entregado,web,,,O-202400010,OL-0000029,,,,,1,1,"Aplique Atlas ""Star""",209.96,Activo
F000030,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2030-01-13 08:59:00,2030-01-13 08:59:00,ONLINE,ONLINE,ORDER,O-202400010,O-202400010,OL-0000030,OL-0000030,,C0094,C0094,1,P1092,P1092,1,Armario Sol Compact,Muebles,Armarios,1,1.0,1.0,"580,51",580.51,10,10.0,58.05,58.05,522.46,522.46,522.46,EUR,21,368.27,368.27,154.19000000000005,ContraReembolso,Entregado,web,,,O-202400010,OL-0000030,,,,,1,1,Armario Sol Compact,555.0,Descatalogado
F000031,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/06/08 10:52:27,2025-06-08 10:52:27,ONLINE,ONLINE,ORDER,O-202400011,O-202400011,OL-0000031,OL-0000031,,C0075,C0075,1,P1059,P1059,1,Armario Minimal 120cm,Muebles,Armarios,1,1.0,1.0,760.82,760.82,,,,,760.82,760.82,760.82,EUR,21,386.71,386.71,374.11000000000007,ApplePay,Entregado,,,,O-202400011,OL-0000031,,,,,1,1,Armario Minimal 120cm,763.98,Activo
F000032,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/06/08 10:52:27,2025-06-08 10:52:27,ONLINE,ONLINE,ORDER,O-202400011,O-202400011,OL-0000032,OL-0000032,,C0075,C0075,1,P1069,P1069,1,Sofá Zen 120cm,Muebles,Sofás,2,2.0,2.0,538.14,538.14,30,30.0,322.88,322.88,"753,40",753.4,753.4,EUR,21,193.43,386.86,366.53999999999996,ApplePay,Entregado,,,,O-202400011,OL-0000032,,,,,1,1,Sofá Zen 120cm,522.47,Activo
F000033,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-04-27 11:14:51,2025-04-27 11:14:51,ONLINE,ONLINE,ORDER,O-202400012,O-202400012,OL-0000033,OL-0000033,,C0034,C0034,1,P1096,P1096,1,Figura Vintage ★,Decoración,Figuras,1,1.0,1.0,€139.12,139.12,,,,,€139.12,139.12,139.12,EUR,21,73.92,73.92,65.2,PayPal,Entregado,app,,,O-202400012,OL-0000033,,,,,1,1,Figura Vintage ★,144.85,Activo
F000034,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/07/11 09:15:38,2025-07-11 09:15:38,ONLINE,ONLINE,ORDER,O-202400013,O-202400013,OL-0000034,OL-0000034,,C0033,C0033,1,p1097,P1097,1,Sofá Eco 120cm,Muebles,Sofás,1,1.0,1.0,730,730.0,15,15.0,€109.43,109.43,620.10,620.1,620.1,EUR,21,480.42,480.42,139.68,Tarjeta,Entregado,marketplace,,,O-202400013,OL-0000034,,,,,1,1,Sofá Eco 120cm,768.59,Activo
F000035,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/07/11 09:15:38,2025-07-11 09:15:38,ONLINE,ONLINE,ORDER,O-202400013,O-202400013,OL-0000035,OL-0000035,,C0033,C0033,1,SKU-1019,SKU-1019,1,Vela Aurora ★,Decoración,Velas,2,2.0,2.0,46.94,46.94,,,,,93.88,93.88,93.88,EUR,21,23.98,47.96,45.919999999999995,Tarjeta,Entregado,marketplace,,,O-202400013,OL-0000035,,,,,1,1,Vela Aurora ★,47.65,Descatalogado
F000036,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/07/11 09:15:38,2025-07-11 09:15:38,ONLINE,ONLINE,ORDER,O-202400013,O-202400013,OL-0000036,OL-0000036,,C0033,C0033,1,P1020,P1020,1,Alfombra Zen 200x300,Textil hogar,Alfombras,2,2.0,2.0,,,,,,,210.20,210.2,210.2,EUR,21,40.67,81.34,128.85999999999999,Tarjeta,Entregado,marketplace,,,O-202400013,OL-0000036,,,,,1,1,Alfombra Zen 200x300,112.47,Activo
F000037,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/07/11 09:15:38,2025-07-11 09:15:38,ONLINE,ONLINE,ORDER,O-202400013,O-202400013,OL-0000037,OL-0000037,,C0033,C0033,1,P1077,P1077,1,"Aplique Atlas ""Star""",Iluminación,Apliques,1,1.0,1.0,203.19,203.19,15,15.0,€30.48,30.48,172.71,172.71,172.71,EUR,21,80.77,80.77,91.94000000000001,Tarjeta,Entregado,marketplace,,,O-202400013,OL-0000037,,,,,1,1,"Aplique Atlas ""Star""",209.96,Activo
F000038,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025/07/11 09:15:38,2025-07-11 09:15:38,ONLINE,ONLINE,ORDER,O-202400013,O-202400013,OL-0000038,OL-0000038,,C0033,C0033,1,P1049,P1049,1,"Lámparas techo Boreal ""Star""",Iluminación,Lámparas techo,3,3.0,3.0,352.44,352.44,20,20.0,211.46,211.46,846,846.0,846.0,EUR,21,255.88,767.64,78.36000000000001,Tarjeta,Entregado,marketplace,,,O-202400013,OL-0000038,,,,,1,1,"Lámparas techo Boreal ""Star""",368.25,Descatalogado
F000039,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-03-28 10:45:55,2025-03-28 10:45:55,ONLINE,ONLINE,ORDER,O-202400014,O-202400014,OL-0000039,OL-0000039,,C0006,C0006,1,P1055,P1055,1,Cuadro Luna ★,Decoración,Cuadros,1,1.0,1.0,121.38,121.38,,,,,121.38,121.38,121.38,EUR,21,77.33,77.33,44.05,ApplePay,Devuelto Total,app,,,O-202400014,OL-0000039,,,,,1,1,Cuadro Luna ★,124.61,Activo
F000040,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-03-28 10:45:55,2025-03-28 10:45:55,ONLINE,ONLINE,ORDER,O-202400014,O-202400014,OL-0000040,OL-0000040,,C0006,C0006,1,P1003,P1003,1,Espejo Atlas ★,Decoración,Espejos,2,2.0,2.0,256.53,256.53,25,25.0,128.26,128.26,384.80,384.8,384.8,EUR,21,160.81,321.62,63.18000000000001,ApplePay,Devuelto Total,app,,,O-202400014,OL-0000040,,,,,1,1,Espejo Atlas ★,264.87,Descatalogado
F000041,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2025-03-28 10:45:55,2025-03-28 10:45:55,ONLINE,ONLINE,ORDER,O-202400014,O-202400014,OL-0000041,OL-0000041,,C0006,C0006,1,P1058,P1058,1,Manta Nórdico 140x200,Textil hogar,Mantas,1,1.0,1.0,64.38,64.38,20,20.0,€12.88,12.88,"51,50",51.5,51.5,EUR,21,39.18,39.18,12.32,ApplePay,Devuelto Total,app,,,O-202400014,OL-0000041,,,,,1,1,Manta Nórdico 140x200,64.7,Activo
F000042,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-07-26 05:37:08,2024-07-26 05:37:08,ONLINE,ONLINE,ORDER,O-202400015,O-202400015,OL-0000042,OL-0000042,,C0061,C0061,1,P1073,P1073,1,Espejo Minimal ★,Decoración,Espejos,1,1.0,1.0,,,15,15.0,16.84,16.84,95.40,95.4,95.4,EUR,21,83.92,83.92,11.480000000000004,BIZUM,Entregado,web,,,O-202400015,OL-0000042,,,,,1,1,Espejo Minimal ★,114.54,Activo
F000043,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-07-26 05:37:08,2024-07-26 05:37:08,ONLINE,ONLINE,ORDER,O-202400015,O-202400015,OL-0000043,OL-0000043,,C0061,C0061,1,P1067,P1067,1,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,1.0,1.0,€358.05,358.05,0,0.0,0.00,0.0,358.05,358.05,358.05,EUR,21,202.12,202.12,155.93,BIZUM,Entregado,web,,,O-202400015,OL-0000043,,,,,1,1,"Lámparas pie Boreal ""Star""",355.71,Activo
F000044,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-03-30 14:07:33,2024-03-30 14:07:33,ONLINE,ONLINE,ORDER,O-202400016,O-202400016,OL-0000044,OL-0000044,,C9999,C9999,0,P1036,P1036,1,Cortina Aurora 90x200,Textil hogar,Cortinas,1,1.0,1.0,25.51,25.51,30,30.0,"7,65",7.65,17.86,17.86,17.86,EUR,21,18.23,18.23,-0.370000000000001,Tarjeta,Entregado,app,,,O-202400016,OL-0000044,,,,,1,1,Cortina Aurora 90x200,26.11,Activo
F000045,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-03-30 14:07:33,2024-03-30 14:07:33,ONLINE,ONLINE,ORDER,O-202400016,O-202400016,OL-0000045,OL-0000045,,C9999,C9999,0,P1004,P1004,1,Cama Sol 120cm,decoración,Camas,1,1.0,1.0,1159.26,1159.26,5,5.0,"57,96",57.96,€1101.30,1101.3,1101.3,EUR,21,,,,Tarjeta,Entregado,app,,,O-202400016,OL-0000045,,,,,1,1,Cama Sol 120cm,1131.94,Activo
F000046,ECOM,lineas_pedido.csv,ONLINE,ONLINE,VENTA,0,2024-03-30 14:07:33,2024-03-30 14:07:33,ONLINE,ONLINE,ORDER,O-202400016,O-202400016,OL-0000046,OL-0000046,,C9999,C9999,0,P1054,P1054,1,Figura Minimal ★,Decoración,Figuras,1,1.0,1.0,113.36,113.36,,,,,"113,36",113.36,113.36,EUR,21,54.5,54.5,58.86,Tarjeta,Entregado,app,,,O-202400016,OL-0000046,,,,,1,1,Figura Minimal ★,110.1,Activo
