order_line_id,order_id,product_id,descripcion_producto,categoria,subcategoria,cantidad,precio_unitario,descuento_pct,descuento_importe,importe_linea,iva_pct
OL-0000024,O-202400008,p1000,Sofá Aurora 160cm,Muebles,,1,201.63,,,201.63,21
OL-0000025,O-202400009,P1006,Cortina Élite 200x300,Textil hogar,Cortinas,1,102.96,,,102.96,21
OL-0000026,O-202400009,P1018,Cojine Minimal ★,Decoración,Cojines,1,€177.43,0,0.00,177.43,21
OL-0000027,O-202400009,P1011,Vela Eco ★,Decoración,,1,85.53,,,85.53,21
OL-0000028,O-202400010,P1058,Manta Nórdico 140x200,Textil hogar,Mantas,3,€61.58,,,184.74,21
OL-0000029,O-202400010,P1077,"Aplique Atlas ""Star""",Iluminación,Apliques,1,198.97,20,39.79,159.18,10
OL-0000030,O-202400010,P1092,Armario Sol Compact,Muebles,Armarios,1,"580,51",10,58.05,522.46,21
OL-0000031,O-202400011,P1059,Armario Minimal 120cm,Muebles,,1,760.82,,,760.82,21
OL-0000032,O-202400011,P1069,Sofá Zen 120cm,Muebles,Sofás,2,538.14,30,322.88,"753,40",21
OL-0000033,O-202400012,P1096,Figura Vintage ★,Decoración,Figuras,1,€139.12,,,€139.12,21
OL-0000034,O-202400013,p1097,Sofá Eco 120cm,Muebles,Sofás,1,730,15,€109.43,620.10,21
OL-0000035,O-202400013,SKU-1019,Vela Aurora ★,Decoración,Velas,2,46.94,,,93.88,10
OL-0000036,O-202400013,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,2,,,,210.20,21
OL-0000037,O-202400013,P1077,"Aplique Atlas ""Star""",Iluminación,Apliques,1,203.19,15,€30.48,172.71,21
OL-0000038,O-202400013,P1049,"Lámparas techo Boreal ""Star""",Iluminación,Lámparas techo,3,352.44,20,211.46,846,21
OL-0000039,O-202400014,P1055,Cuadro Luna ★,Decoración,Cuadros,1,121.38,,,121.38,21
OL-0000040,O-202400014,P1003,Espejo Atlas ★,Decoración,Espejos,2,256.53,25,128.26,384.80,10
OL-0000041,O-202400014,P1058,Manta Nórdico 140x200,Textil hogar,Mantas,1,64.38,20,€12.88,"51,50",21
OL-0000042,O-202400015,P1073,Espejo Minimal ★,Decoración,Espejos,1,,15,16.84,95.40,21
OL-0000043,O-202400015,P1067,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,€358.05,0,0.00,358.05,10
OL-0000044,O-202400016,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,25.51,30,"7,65",17.86,21
OL-0000045,O-202400016,P1004,Cama Sol 120cm,decoración,Camas,1,1159.26,5,"57,96",€1101.30,21
OL-0000046,O-202400016,P1054,Figura Minimal ★,Decoración,Figuras,1,113.36,,,"113,36",21
OL-0000047,O-202400016,P1071,"Bombilla Aurora ""Star""",Iluminación,Bombillas,1,140.57,30,€42.17,€98.40,10
OL-0000048,O-202400017,p10X1,Producto desconocido,N/A,,1,"199,91",10,19.99,179.92,21
OL-0000049,O-202400017,P1091,"Bombilla Eco ""Star""",Iluminación,Bombillas,1,"354,93",-5,-17.75,€372.68,21
OL-0000050,O-202400017,P1009,Cortina Vintage Pack 4,Textil hogar,Cortinas,2,22.41,0,"0,00",44.82,21
OL-0000051,O-202400018,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,25.46,-5,-1.27,"26,73",21
OL-0000052,O-202400018,P1065,Sofá Atlas 3 plazas,Muebles,Sofás,3,1013.93,,,3041.79,21
OL-0000053,O-202400018,p1082,Vela Vintage ★,Decoración,Velas,1,"215,21",5,10.76,204.45,21
OL-0000054,O-202400018,P1023,"Aplique Élite ""Star""",Iluminación,Apliques,1,"138,18",30,€41.45,96.73,10
OL-0000055,O-202400018,P1030,Sofá Vintage XL,Muebles,Sofás,1,984.61,25,246.15,"738,46",21
OL-0000056,O-202400018,P1003,Espejo Atlas ★,Decoración,Espejos,1,273.41,,,273.41,21
OL-0000057,O-202400019,P1083,"Aplique Aurora ""Star""",Iluminación,,2,409.53,0,"0,00","819,06",10
OL-0000058,O-202400019,P1042,Espejo Minimal ★,Decoración,Espejos,2,71.56,30,42.94,100.18,10
OL-0000059,O-202400020,P1059,Armario Minimal 120cm,Muebles,Armarios,2,,-5,-70.34,1477.20,21
OL-0000060,O-202400020,P1092,Armario Sol Compact,Muebles,Armarios,1,550.00,,,550.00,21
OL-0000061,O-202400021,P1047,Sofá Atlas 3 plazas,Muebles,Sofás,1,527.58,,,528,21
OL-0000062,O-202400021,P1073,Espejo Minimal ★,Decoración,Espejos,1,€112.89,,,112.89,10
OL-0000063,O-202400021,P1025,Figura Nórdico ★,Decoración,Figuras,2,81.15,15,24.35,137.95,21
OL-0000064,O-202400022,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,2,€102.13,25,51.06,153.20,21
OL-0000065,O-202400022,P1017,"Lámparas techo Zen ""Star""",Iluminación,Lámparas techo,3,66.03,,,198.09,10
OL-0000066,O-202400022,P1038,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,2,22,,,44.84,21
OL-0000067,O-202400023,P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,2,173.57,25,86.78,€260.36,21
OL-0000068,O-202400023,P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,1,€166.21,15,€24.93,141.28,21
OL-0000069,O-202400024,P1061,Sábana Minimal 200x300,Textil hogar,Sábanas,1,182.61,0,0.00,182.61,21
OL-0000070,O-202400024,P1067,"Lámparas pie Boreal ""Star""",Iluminación,,1,356.66,5,17.83,338.83,10
OL-0000071,O-202400024,P1098,Espejo Boreal ★,Decoración,Espejos,2,217.05,,,434.10,10
OL-0000072,O-202400024,p1005,Producto desconocido,,,1,935.96,15,140.39,795.57,21
OL-0000073,O-202400025,P1046,"Aplique Atlas ""Star""",Iluminación,Apliques,1,328.29,0,0,328.29,10
OL-0000074,O-202400025,P1035,Manta Brisa Set 2 uds,Textil hogar,Mantas,1,210.54,30,63.16,147.38,21
OL-0000075,O-202400025,P1025,Figura Nórdico ★,Decoración,Figuras,2,93.77,,,187.54,21
OL-0000076,O-202400025,p1060,Cortina Luna 200x300,Textil hogar,Cortinas,1,55.46,0,0.00,55.46,21
OL-0000077,O-202400025,P1074,Sábana Vintage Pack 4,Textil hogar,Sábanas,1,99.50,,,"99,50",21
OL-0000078,O-202400026,P1004,Cama Sol 120cm,decoración,Camas,2,"1121,66",,,2243.32,21
OL-0000079,O-202400026,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,3,"49,21",5,7,140.25,10
OL-0000080,O-202400027, P1078,Estantería Atlas 160cm,Muebles,Estanterías,2,735.86,,,"1471,72",21
OL-0000081,O-202400027,P1020,Alfombra Zen 200x300,Textil hogar,,1,116.44,30,34.93,"81,51",21
OL-0000082,O-202400027,P1018,Cojine Minimal ★,Decoración,Cojines,1,,25,€44.28,€132.85,10
OL-0000083,O-202400027,P1097,Sofá Eco 120cm,Muebles,Sofás,2,805.04,,,1610.08,21
OL-0000084,O-202400028,P1085,Sofá Boreal Compact,Muebles,Sofás,2,1043.81,0,0.00,2087.62,21
OL-0000085,O-202400028,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,447.29,0,0.00,447.29,21
OL-0000086,O-202400029,P1063,Armario Brisa 160cm,Muebles,Armarios,1,"426,38",15,63.96,362.42,21
OL-0000087,O-202400029,p1005,Producto desconocido,,,1,318.82,15,47.82,271.00,21
OL-0000088,O-202400029,p10X1,Producto desconocido,N/A,,1,€597.10,,,597.10,21
OL-0000089,O-202400029,P1061,Sábana Minimal 200x300,Textil hogar,Sábanas,1,"205,89",0,0.00,205.89,21
OL-0000090,O-202400029,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,2,116.31,5,"11,63",220.99,21
OL-0000091,O-202400030,P1035,Manta Brisa Set 2 uds,Textil hogar,Mantas,1,"224,87",,,"224,87",21
OL-0000092,O-202400030,P9999,Producto desconocido,,,1,744.78,,,744.78,21
OL-0000093,O-202400030,P1013,"Lámparas techo Brisa ""Star""",Iluminación,Lámparas techo,1,307.58,20,61.52,246.06,10
OL-0000094,O-202400030,P1039,Cuadro Nórdico ★,Decoración,Cuadros,1,215.09,5,10.75,204.34,10
OL-0000095,O-202400030,P1014,Cuadro Zen ★,Decoración,Cuadros,1,70.07,,,"70,07",10
OL-0000096,O-202400031,P1048,Mesa Minimal 160cm,Muebles,Mesas,1,459.51,5,€22.98,437,21
OL-0000097,O-202400031,P1055,Cuadro Luna ★,Decoración,,2,117.96,10,24,212.33,10
OL-0000098,O-202400031,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,461.47,,,"461,47",21
OL-0000099,O-202400032, P1029,Figura Luna ★,Decoración,Figuras,3,48.09,30,43.28,€100.99,10
OL-0000100,O-202400033,P1013,"Lámparas techo Brisa ""Star""",Iluminación,Lámparas techo,4,320,30,384.28,896.64,10
OL-0000101,O-202400034,P1068,"Lámparas mesa Minimal ""Star""",Iluminación,Lámparas mesa,1,49.74,,,€49.74,10
OL-0000102,O-202400034,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,2,"359,73",,,719.46,21
OL-0000103,O-202400034,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,3,,10,115.99,"1043,93",10
OL-0000104,O-202400035,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,"27,20",25,6.80,20.40,21
OL-0000105,O-202400035,P1010,Cama Sol Compact,Muebles,Camas,1,904.27,5,45.21,859.06,21
OL-0000106,O-202400035,P1083,"Aplique Aurora ""Star""",Iluminación,,1,,,,,10
OL-0000107,O-202400036,P1018,Cojine Minimal ★,Decoración,Cojines,1,186.08,,,€186.08,21
OL-0000108,O-202400036,P1022,Armario Aurora 120cm,Muebles,Armarios,1,"810,95",,,810.95,21
OL-0000109,O-202400036,P1083,"Aplique Aurora ""Star""",Iluminación,,1,381.02,25,95,285.77,21
OL-0000110,O-202400037,P1076,Cortina Eco 200x300,Textil hogar,,1,206,5,10.31,"195,96",21
OL-0000111,O-202400037,P1022,Armario Aurora 120cm,Muebles,Armarios,2,774.16,0,€0.00,1548.32,21
OL-0000112,O-202400038,P1026,Cuadro Vintage ★,Decoración,Cuadros,1,80.28,30,24.08,56.20,10
OL-0000113,O-202400038,P1003,Espejo Atlas ★,Decoración,Espejos,1,253.73,0,"0,00",253.73,10
OL-0000114,O-202400038,P1082,Vela Vintage ★,Decoración,Velas,2,"233,19",5,"23,32",€443.06,21
OL-0000115,O-202400038,P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,0,160.62,,,€0.00,21
OL-0000116,O-202400038, P1034,Jarrone Atlas ★,Decoración,Jarrones,1,270.02,-5,"-13,50",283.52,10
OL-0000117,O-202400038,P1066,Jarrón Brisa 💠,Iluminación,Lámparas pie,1,"84,11",25,21.03,63.08,10
OL-0000118,O-202400039,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,4,€367.54,20,294.03,"1176,13",21
OL-0000119,O-202400039,SKU-9999,,N/A,,4,619,,,€2474.44,21
OL-0000120,O-202400039,P9999,Producto desconocido,,,1,553.49,25,138.37,415.12,21
OL-0000121,O-202400039,P1035,Manta Brisa Set 2 uds,Textil hogar,Mantas,1,€216.04,20,43.21,"172,83",21
OL-0000122,O-202400039,P1016,"Aplique Élite ""Star""",Iluminación,Apliques,1,"290,32",0,"0,00","290,32",21
OL-0000123,O-202400040,P1080,Espejo Boreal ★,Decoración,Espejos,2,€188.33,30,113.00,,10
OL-0000124,O-202400041,P1066,Jarrón Brisa 💠,Iluminación,Lámparas pie,1,78.16,,,€78.16,21
OL-0000125,O-202400041,P1071,"Bombilla Aurora ""Star""",Iluminación,Bombillas,1,126.87,30,€38.06,88.81,10
OL-0000126,O-202400042,P1056,Cortina Luna Set 2 uds,Textil hogar,Cortinas,1,206.98,15,"31,05",176,21
OL-0000127,O-202400042,P1037,"Bombilla Boreal ""Star""",Iluminación,,2,"47,15",,,94.30,21
OL-0000128,O-202400042,P1065,Sofá Atlas 3 plazas,Muebles,Sofás,1,1103.94,,,"1103,94",21
OL-0000129,O-202400043,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,2,,5,5.18,€98.38,10
OL-0000130,O-202400043,P1028,Sábana Zen 90x200,Textil hogar,Sábanas,2,74,5,7.43,,21
OL-0000131,O-202400043,P1042,Espejo Minimal ★,Decoración,Espejos,1,76.65,10,7.67,68.98,10
OL-0000132,O-202400044,p1005,Producto desconocido,,,1,"95,69",-5,-4.78,100.47,21
OL-0000133,O-202400045,P1022,Armario Aurora 120cm,Muebles,Armarios,2,860.66,,,1721.32,21
OL-0000134,O-202400045,P1072,"Aplique Aurora ""Star""",Iluminación,Apliques,1,194,10,19.37,174.36,10
OL-0000135,O-202400045,P1043,Cama Sol 3 plazas,Muebles,Camas,3,894.25,20,€536.55,"2146,20",21
OL-0000136,O-202400046,p1006,Cortina Élite 200x300,Textil hogar,Cortinas,3,101.92,,,€307.72,21
OL-0000137,O-202400046,P1008,"Bombilla Nórdico ""Star""",Iluminación,Bombillas,1,29.65,5,1.48,"28,17",21
OL-0000138,O-202400046,P1004,Cama Sol 120cm,decoración,Camas,1,1091.50,,,"1091,50",21
OL-0000139,O-202400047,P1061,Sábana Minimal 200x300,Textil hogar,Sábanas,1,206.35,25,51.59,154.76,21
OL-0000140,O-202400047,p1041,Vela Luna ★,Decoración,Velas,1,114.44,15,17.17,97.27,21
OL-0000141,O-202400047,P1042,Espejo Minimal ★,Decoración,Espejos,2,74.35,,,€158.99,21
OL-0000142,O-202400047,P1049,"Lámparas techo Boreal ""Star""",Iluminación,Lámparas techo,1,384,,,,10
OL-0000143,O-202400048,P1023,"Aplique Élite ""Star""",Iluminación,Apliques,1,148.19,25,37.05,111.14,21
OL-0000144,O-202400048,P1059,Armario Minimal 120cm,Muebles,Armarios,1,,30,235.22,548.84,21
OL-0000145,O-202400049,P1021,"Bombilla Brisa ""Star""",Iluminación,Bombillas,1,275.49,0,0.00,275.49,21
OL-0000146,O-202400050,P1072,"Aplique Aurora ""Star""",Iluminación,Apliques,1,193.53,30,58.06,135.47,10
OL-0000147,O-202400050,P1074,Sábana Vintage Pack 4,Textil hogar,Sábanas,1,98.75,,,98.75,21
OL-0000148,O-202400050,P1029,Figura Luna ★,Decoración,Figuras,1,"52,02",-5,"-2,60",55,21
OL-0000149,O-202400051,P1016,"Aplique Élite ""Star""",Iluminación,Apliques,1,"276,61",,,€276.61,21
OL-0000150,O-202400051,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,458.05,30,137.41,320.64,21
OL-0000151,O-202400051,P1098,Espejo Boreal ★,Decoración,Espejos,1,"217,33",,,€217.33,21
OL-0000152,O-202400052,P1033,Cojine Sol ★,Decoración,,1,226.86,30,68.06,158.80,10
OL-0000153,O-202400052,P1050,Cama Brisa Compact,Muebles,Camas,2,"174,00",15,52.20,295.80,21
OL-0000154,O-202400053,,Producto desconocido,,,1,453.44,15,"68,02","385,42",21
OL-0000155,O-202400053,,,,,1,790.58,5,"39,53",751.05,21
OL-0000156,O-202400053,P1087,Jarrone Eco ★,Decoración,Jarrones,3,"197,40",20,€118.44,473.76,10
OL-0000157,O-202400053,P1022,Armario Aurora 120cm,Muebles,Armarios,1,862.78,,,"862,78",21
OL-0000158,O-202400054,P1092,Armario Sol Compact,Muebles,Armarios,2,€541.07,,,1082,21
OL-0000159,O-202400054,P1025,Figura Nórdico ★,Decoración,Figuras,1,93.66,20,18.73,74.93,10
OL-0000160,O-202400054,P1001,Cuadro Atlas ★,Decoración,Cuadros,3,"30,09",,,90.27,21
OL-0000161,O-202400055,P1001,Cuadro Atlas ★,Decoración,Cuadros,1,,30,8.92,,21
OL-0000162,O-202400055,P1053,"Aplique Nórdico ""Star""",Iluminación,,1,223.21,30,66.96,€156.25,21
OL-0000163,O-202400055,P1045,Sofá Aurora 120cm,Muebles,Sofás,1,177.80,5,€8.89,168.91,21
OL-0000164,O-202400055,P1034,Jarrone Atlas ★,Decoración,Jarrones,1,"273,27",30,81.98,191.29,10
OL-0000165,O-202400056,P1055,Cuadro Luna ★,Decoración,Cuadros,1,124.22,30,37.27,86.95,10
OL-0000166,O-202400056,p1005,,,,2,573.50,15,€172.05,975,21
OL-0000167,O-202400056,P1080,Espejo Boreal ★,Decoración,Espejos,1,192.41,,,192.41,10
OL-0000168,O-202400057,P1092,Armario Sol Compact,Muebles,Armarios,2,511.85,25,255.93,767.77,21
OL-0000169,O-202400058,P1060,Cortina Luna 200x300,Textil hogar,Cortinas,2,54,10,10.75,96.75,21
OL-0000170,O-202400058,P1015,"Bombilla Vintage ""Star""",Iluminación,Bombillas,2,76,10,15.27,137,21
OL-0000171,O-202400058,,Producto desconocido,N/A,,1,,10,105,944.63,21
OL-0000172,O-202400059,P101Z,Producto desconocido,,,1,€1139.04,,,1139.04,21
OL-0000173,O-202400059,,,,,2,407.47,30,244.48,570.46,21
OL-0000174,O-202400060,P1087,Jarrone Eco ★,Decoración,Jarrones,0,189.82,0,0.00,0.00,10
OL-0000175,O-202400060,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,2,26.36,,,"52,72",21
OL-0000176,O-202400061,P1092,Armario Sol Compact,Muebles,Armarios,2,546.92,,,,21
OL-0000177,O-202400061, P1007,Figura Boreal ★,Decoración,Figuras,1,218.36,25,54.59,163.77,21
OL-0000178,O-202400061,P1079,Cuadro Boreal ★,Decoración,Cuadros,1,,15,22.28,"126,28",10
OL-0000179,O-202400061,P1003,Espejo Atlas ★,Decoración,Espejos,1,255.08,25,63.77,191.31,21
OL-0000180,O-202400062,P1048,Mesa Minimal 160cm,Muebles,Mesas,3,434.97,0,"0,00",1304.91,21
OL-0000181,O-202400062,P1081,"Bombilla Élite ""Star""",Iluminación,Bombillas,-1,378.93,10,0.00,-378.93,10
OL-0000182,O-202400063,P1025,Figura Nórdico ★,Decoración,,1,86.58,25,21.64,64.94,21
OL-0000183,O-202400063,P1014,Cuadro Zen ★,Decoración,Cuadros,1,62.60,15,9.39,53.21,21
OL-0000184,O-202400063,P1010,Cama Sol Compact,Muebles,Camas,3,857.82,10,€257.35,2316.11,21
OL-0000185,O-202400063,P1039,Cuadro Nórdico ★,Decoración,Cuadros,2,234.79,20,93.92,€375.66,10
OL-0000186,O-202400063,P1067,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,346.84,25,"86,71",260,10
OL-0000187,O-202400064,P1001,Cuadro Atlas ★,Decoración,Cuadros,1,"32,08",10,3.21,28.87,10
OL-0000188,O-202400064,P1099,Figura Eco ★,Decoración,Figuras,1,€192.05,20,38.41,153.64,21
OL-0000189,O-202400064,P1042,Espejo Minimal ★,Decoración,Espejos,1,76.74,110,"84,41",-7.67,10
OL-0000190,O-202400065,P1050,Cama Brisa Compact,Muebles,Camas,1,180.08,30,54.02,"126,06",21
OL-0000191,O-202400066, P1026,Cuadro Vintage ★,Decoración,Cuadros,1,87,,,87.11,10
OL-0000192,O-202400066,P1072,"Aplique Aurora ""Star""",Iluminación,Apliques,1,212.81,,,212.81,10
OL-0000193,O-202400066,P1046,"Aplique Atlas ""Star""",Iluminación,Apliques,2,314,,,627.90,21
OL-0000194,O-202400066,P1042,Espejo Minimal ★,Decoración,Espejos,1,72.41,0,"0,00",€72.41,10
OL-0000195,O-202400066,P1061,Sábana Minimal 200x300,Textil hogar,Sábanas,2,"200,13",0,"0,00",400.26,21
OL-0000196,O-202400067,P1034,Jarrone Atlas ★,Decoración,Jarrones,1,309.12,25,77.28,231.84,21
OL-0000197,O-202400067,P1007,Figura Boreal ★,Decoración,Figuras,1,244.31,,,244.31,21
OL-0000198,O-202400067,P1046,"Aplique Atlas ""Star""",Iluminación,Apliques,2,,0,"0,00",624.56,10
OL-0000199,O-202400067,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,2,,0,0.00,48.46,21
OL-0000200,O-202400067,P1030,Sofá Vintage XL,Muebles,Sofás,1,"1052,73",,,1052.73,21
OL-0000201,O-202400067,P1045,Sofá Aurora 120cm,Muebles,Sofás,1,176.60,,,176.60,21
OL-0000202,O-202400068,p1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,112.78,25,28.20,€84.58,21
OL-0000203,O-202400068,P1031,Cama Nórdico 3 plazas,Muebles,Camas,1,1111.63,20,222.33,889.30,21
OL-0000204,O-202400068,P1087,Jarrone Eco ★,Decoración,Jarrones,2,191.70,,,€383.40,21
OL-0000205,O-202400069,P1063,Armario Brisa 160cm,Muebles,Armarios,1,"447,68",0,0.00,447.68,21
OL-0000206,O-202400070,P1041,Vela Luna ★,Decoración,Velas,2,122.50,,,"245,00",10
OL-0000207,O-202400071,P9999,,,,1,764.79,25,191.20,"573,59",21
OL-0000208,O-202400071,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,102.51,,,102.51,21
OL-0000209,O-202400072, P1051,Alfombra Aurora Set 2 uds,Textil hogar,Alfombras,2,21.38,10,4.28,38.48,21
OL-0000210,O-202400072,,Producto desconocido,,,2,"1146,93",30,688.16,"1605,70",21
OL-0000211,O-202400073,P1018,Cojine Minimal ★,Decoración,Cojines,1,163.04,20,32.61,130,21
OL-0000212,O-202400073,P1057,"Lámparas pie Luna ""Star""",Iluminación,Lámparas pie,1,130.49,,,130.49,10
OL-0000213,O-202400073,P1021,"Bombilla Brisa ""Star""",Iluminación,Bombillas,1,300.25,0,0.00,307.89,21
OL-0000214,O-202400074,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,€102.23,25,25.56,"76,67",21
OL-0000215,O-202400074,P1064,Estantería Minimal 120cm,Muebles,Estanterías,2,"463,10",10,"92,62",834,21
OL-0000216,O-202400074,P1031,Cama Nórdico 3 plazas,Muebles,Camas,0,"1109,46",5,0.00,0.00,21
OL-0000217,O-202400075,P1076,Cortina Eco 200x300,Textil hogar,Cortinas,1,197.90,,,197.90,21
OL-0000218,O-202400075,P1068,"Lámparas mesa Minimal ""Star""",Iluminación,Lámparas mesa,2,49.96,,,99.92,21
OL-0000219,O-202400075,P1084,Espejo Eco ★,Decoración,Espejos,1,"43,74",,,43.74,21
OL-0000220,O-202400075,P1078,Estantería Atlas 160cm,Muebles,Estanterías,3,677.64,30,609.88,1423.04,21
OL-0000221,O-202400075,P1052,Cama Vintage 3 plazas,Muebles,Camas,1,632.85,30,189.85,443.00,21
OL-0000222,O-202400075,P1009,Cortina Vintage Pack 4,Textil hogar,,1,20.37,,,"20,37",21
OL-0000223,O-202400076,P1074,Sábana Vintage Pack 4,Textil hogar,Sábanas,1,100.96,,,101,21
OL-0000224,O-202400076,P1037,"Bombilla Boreal ""Star""",Iluminación,Bombillas,1,48.25,5,2.41,58.39,21
OL-0000225,O-202400077,P1033,Cojine Sol ★,Decoración,Cojines,1,"226,80",,,226.80,10
OL-0000226,O-202400077,P1099,Figura Eco ★,Decoración,Figuras,1,,,,"181,77",10
OL-0000227,O-202400077,P1097,Sofá Eco 120cm,Muebles,Sofás,1,765.83,0,0.00,765.83,21
OL-0000228,O-202400078,,,,,1,"1127,29",,,1127.29,21
OL-0000229,O-202400078,P1078,Estantería Atlas 160cm,Muebles,Estanterías,1,721.86,0,0.00,721.86,21
OL-0000230,O-202400078,P1049,"Lámparas techo Boreal ""Star""",Iluminación,Lámparas techo,2,340.86,,,681.72,10
OL-0000231,O-202400078,P1021,"Bombilla Brisa ""Star""",Iluminación,Bombillas,0,283.77,30,0.00,0.00,10
OL-0000232,O-202400078,P1034,Jarrone Atlas ★,Decoración,,1,€290.58,20,58.12,"232,46",21
OL-0000233,O-202400079,P1047,Sofá Atlas 3 plazas,Muebles,Sofás,1,484.96,10,48.50,436.46,21
OL-0000234,O-202400079,P1067,"Lámparas pie Boreal ""Star""",Iluminación,Lámparas pie,1,351.12,110,386.23,€-35.11,21
OL-0000235,O-202400080,P1027,Sábana Nórdico 140x200,Textil hogar,Sábanas,1,102.94,0,0.00,€102.94,21
OL-0000236,O-202400080,p1025,Figura Nórdico ★,Decoración,Figuras,1,"87,10",10,"8,71",78.39,21
OL-0000237,O-202400080,P1013,"Lámparas techo Brisa ""Star""",Iluminación,Lámparas techo,1,304.44,110,334.88,-30.44,10
OL-0000238,O-202400081,P1055,Cuadro Luna ★,Decoración,Cuadros,1,112.84,20,€22.57,90.27,10
OL-0000239,O-202400081,P1069,Sofá Zen 120cm,Muebles,Sofás,1,"527,91",20,105.58,€422.33,21
OL-0000240,O-202400082,P1047,Sofá Atlas 3 plazas,Muebles,Sofás,1,"529,33",,,529.33,21
OL-0000241,O-202400082,P1080,Espejo Boreal ★,Decoración,Espejos,1,195.63,0,0.00,195.63,21
OL-0000242,O-202400082,P1026,Cuadro Vintage ★,Decoración,Cuadros,1,80.46,0,0.00,"80,46",21
OL-0000243,O-202400082,P106Y,,N/A,,1,953.51,,,"953,51",21
OL-0000244,O-202400082,P1054,Figura Minimal ★,Decoración,Figuras,1,"104,26",30,31.28,73,21
OL-0000245,O-202400083,P1095,  Espejo Élite 80cm  ,Iluminación,Lámparas pie,2,"0,00",15,0.00,0.00,21
